iter,t,x,y,theta,vx,vy
396,9.900000,1073.671934,325.000000,0.000000,1.800000,0.000000
397,9.925000,1074.564791,325.000000,0.000000,1.800000,0.000000
398,9.950000,1075.323606,324.676394,-0.403108,1.655723,-0.706103
399,9.975000,1075.954951,324.045049,-0.785398,1.272792,-1.272792
400,10.000000,1076.829149,324.000000,-0.051486,1.797615,-0.092634
401,10.025000,1077.722006,324.000000,0.000000,1.800000,0.000000
402,10.050000,1078.614863,324.000000,0.000000,1.800000,0.000000
403,10.075000,1079.507720,324.000000,0.000000,1.800000,0.000000
404,10.100000,1080.400577,324.000000,0.000000,1.800000,0.000000
405,10.125000,1081.293434,324.000000,0.000000,1.800000,0.000000
406,10.150000,1082.186292,324.000000,0.000000,1.800000,0.000000
407,10.175000,1083.055967,323.944033,-0.064265,1.796284,-0.115597
408,10.200000,1083.687312,323.312688,-0.785398,1.272792,-1.272792
409,10.225000,1084.450649,323.000000,-0.388783,1.665668,-0.682312
410,10.250000,1085.343507,323.000000,0.000000,1.800000,0.000000
411,10.275000,1086.236364,323.000000,0.000000,1.800000,0.000000
412,10.300000,1087.129221,323.000000,0.000000,1.800000,0.000000
413,10.325000,1088.022078,323.000000,0.000000,1.800000,0.000000
414,10.350000,1088.914935,323.000000,0.000000,1.800000,0.000000
415,10.375000,1089.807792,323.000000,0.000000,1.800000,0.000000
416,10.400000,1090.700649,323.000000,0.000000,1.800000,0.000000
417,10.425000,1091.593507,323.000000,0.000000,1.800000,0.000000
418,10.450000,1092.486364,323.000000,0.000000,1.800000,0.000000
419,10.475000,1093.379221,323.000000,0.000000,1.800000,0.000000
420,10.500000,1094.272078,323.000000,0.000000,1.800000,0.000000
421,10.525000,1095.164935,323.000000,0.000000,1.800000,0.000000
422,10.550000,1096.057792,323.000000,0.000000,1.800000,0.000000
423,10.575000,1096.950649,323.000000,0.000000,1.800000,0.000000
424,10.600000,1097.843507,323.000000,0.000000,1.800000,0.000000
425,10.625000,1098.736364,323.000000,0.000000,1.800000,0.000000
426,10.650000,1099.629221,323.000000,0.000000,1.800000,0.000000
427,10.675000,1100.522078,323.000000,0.000000,1.800000,0.000000
428,10.700000,1101.414935,323.000000,0.000000,1.800000,0.000000
